weblink,price,ad_date,ad_views,brand,model,year,params
https://kolesa.kz/a/show/155013553,5 350 000 ₸,29 июня,828,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Уральск', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '2 600 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155157813,5 455 000 ₸,3 июля,527,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '200 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155241750,5 530 000 ₸,2 июля,659,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Актобе', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155413626,5 530 000 ₸,2 июля,598,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Кызылорда', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155235040,5 530 000 ₸,2 июля,2108,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155289340,5 530 000 ₸,1 июля,1551,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Шымкент', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серебристый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155598724,5 530 000 ₸,1 июля,107,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Алматы', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/144476773,5 530 000 ₸,26 июня,404,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/133499823,5 590 000 ₸,3 июля,28154,Chevrolet,Spark,2023,"{'Город': 'Караганда', 'Поколение': '2015 - н.в. M400', 'Кузов': 'хэтчбек', 'Объем двигателя, л': '1.2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/153650663,5 590 000 ₸,2 июля,1811,Chevrolet,Spark,2023,"{'Город': 'Шымкент', 'Поколение': '2015 - н.в. M400', 'Кузов': 'хэтчбек', 'Объем двигателя, л': '1 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'синий', 'Растаможен в Казахстане': 'Да'}"
