,weblink,price,ad_date,ad_views,brand,model,year,dict_params,city,generation,body,engine,mileage,transmission,drivetrain,drive,body_color,customs_cleared,engine_volume,fuel_type,damaged
0,https://kolesa.kz/a/show/155013553,5350000.0,29 июня,828,ВАЗ (Lada),Granta 2190 (седан),2023.0,"{'Город': 'Уральск', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '2 600 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный', 'Растаможен в Казахстане': 'Да'}",Уральск,2018 - н.в. 1 поколение рестайлинг,седан,1.6 (бензин),2600.0,механика,передний привод,слева,черный,Да,1.6,бензин,0
1,https://kolesa.kz/a/show/155157813,5455000.0,3 июля,527,ВАЗ (Lada),Granta 2190 (седан),2023.0,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '200 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный металлик', 'Растаможен в Казахстане': 'Да'}",Астана,2018 - н.в. 1 поколение рестайлинг,седан,1.6 (бензин),200.0,механика,передний привод,слева,черный металлик,Да,1.6,бензин,0
2,https://kolesa.kz/a/show/155241750,5530000.0,2 июля,659,ВАЗ (Lada),Granta 2191 (лифтбек),2023.0,"{'Город': 'Актобе', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Актобе,2018 - н.в. 1 поколение рестайлинг,лифтбек,1.6 (бензин),10.0,механика,передний привод,слева,белый,Да,1.6,бензин,0
3,https://kolesa.kz/a/show/155413626,5530000.0,2 июля,598,ВАЗ (Lada),Granta 2190 (седан),2023.0,"{'Город': 'Кызылорда', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Кызылорда,2018 - н.в. 1 поколение рестайлинг,седан,1.6 (бензин),,механика,передний привод,слева,,Да,1.6,бензин,0
4,https://kolesa.kz/a/show/155235040,5530000.0,2 июля,2108,ВАЗ (Lada),Granta 2190 (седан),2023.0,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Астана,2018 - н.в. 1 поколение рестайлинг,седан,1.6 (бензин),,механика,передний привод,слева,,Да,1.6,бензин,0
5,https://kolesa.kz/a/show/155289340,5530000.0,1 июля,1551,ВАЗ (Lada),Granta 2191 (лифтбек),2023.0,"{'Город': 'Шымкент', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серебристый', 'Растаможен в Казахстане': 'Да'}",Шымкент,2018 - н.в. 1 поколение рестайлинг,лифтбек,1.6 (бензин),,механика,передний привод,слева,серебристый,Да,1.6,бензин,0
6,https://kolesa.kz/a/show/155598724,5530000.0,1 июля,107,ВАЗ (Lada),Granta 2191 (лифтбек),2023.0,"{'Город': 'Алматы', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Алматы,2018 - н.в. 1 поколение рестайлинг,лифтбек,1.6 (бензин),,механика,передний привод,слева,белый,Да,1.6,бензин,0
7,https://kolesa.kz/a/show/144476773,5530000.0,26 июня,404,ВАЗ (Lada),Granta 2191 (лифтбек),2023.0,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Астана,2018 - н.в. 1 поколение рестайлинг,лифтбек,1.6 (бензин),10.0,механика,передний привод,слева,белый,Да,1.6,бензин,0
8,https://kolesa.kz/a/show/133499823,5590000.0,3 июля,28154,Chevrolet,Spark,2023.0,"{'Город': 'Караганда', 'Поколение': '2015 - н.в. M400', 'Кузов': 'хэтчбек', 'Объем двигателя, л': '1.2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Караганда,2015 - н.в. M400,хэтчбек,1.2 (бензин),,автомат,передний привод,слева,,Да,1.2,бензин,0
9,https://kolesa.kz/a/show/153650663,5590000.0,2 июля,1811,Chevrolet,Spark,2023.0,"{'Город': 'Шымкент', 'Поколение': '2015 - н.в. M400', 'Кузов': 'хэтчбек', 'Объем двигателя, л': '1 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'синий', 'Растаможен в Казахстане': 'Да'}",Шымкент,2015 - н.в. M400,хэтчбек,1 (бензин),,автомат,передний привод,слева,синий,Да,1.0,бензин,0
